RESOURCE_NODE,UNIT_SUBSTATION,UNIT_NAME,Sample BusNames
AEEC,AEEC,ANTLP_1,
AEEC,AEEC,ANTLP_2,
AEEC,AEEC,ANTLP_3,
AEEC,AEEC,ELK_1,
AEEC,AEEC,ELK_2,
AEEC,AEEC,ELK_3,
AGUAYO_UNIT1,AGUAYO,UNIT1,AGUAYO_1
AJAXWIND_RN,AJAXWIND,UNIT1,AJAX_UN1
AJAXWIND_RN,AJAXWIND,UNIT2,AJAX_UN2
ALGOD_ALL_RN,ALGODON,UNIT1,ALGODON_U1
ALGOD_ALL_RN,ALGODON,UNIT2,ALGODON_U2
ALVIN_RN,ALVIN,UNIT1,ALVIN_6490
AMADEUS_ALL,AMADEUS1,UNIT1,AMADEUS1_1
AMADEUS_ALL,AMADEUS1,UNIT2,
AMADEUS_ALL,AMADEUS2,UNIT3,
AMISTAD_ALL,AMISTAD,AMISTAG1,AMI_AMISTAG1
AMISTAD_ALL,AMISTAD,AMISTAG2,AMI_AMISTAG2
AMO_AMOCO_1,AMOCOOIL,AMOCO_1,
AMO_AMOCO_2,AMOCOOIL,AMOCO_2,
AMO_AMOCO_5,AMOCOOIL,AMOCO_5,
AMO_AMOCO_G1,AMOCOOIL,AMOCO_G1,
AMO_AMOCO_G2,AMOCOOIL,AMOCO_G2,
AMO_AMOCO_G3,AMOCOOIL,AMOCO_G3,
AMO_AMOCO_S1,AMOCOOIL,AMOCO_S1,
AMO_AMOCO_S2,AMOCOOIL,AMOCO_S2,
ANACACHO_ANA,ANACACHO,ANA,
ANCHOR_ALL,ANCHOR,BESS1,
ANCHOR_ALL,ANCHOR,BESS2,
ANCHOR_ALL,ANCHOR,WIND1,
ANCHOR_ALL,ANCHOR,WIND2,
ANCHOR_ALL,ANCHOR,WIND3,
ANCHOR_ALL,ANCHOR,WIND4,
ANCHOR_ALL,ANCHOR,WIND5,
ANDMDSLR_ALL,ANDMDSLR,UNIT1,
ANDMDSLR_ALL,ANDMDSLR,UNIT2,
ANSON1_ALL,ANSON1,UNIT1,
ANSON1_ALL,ANSON1,UNIT2,
APPALOSA_ALL,APPALOSA,UNIT1,
APPALOSA_ALL,APPALOSA,UNIT2,
AQUI_ALL,AQUILLA,U1_23,
AQUI_ALL,AQUILLA,U1_28,
